Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.86
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.988
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.99
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.724
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.768
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.721
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.633
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.756
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.847
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.938
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.971
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.789
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.918
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.916
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.794
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.897
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.917
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.68
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.604
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.51
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.781
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.952
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.7
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.958
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.22
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.818
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.721
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.692
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.613
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.988
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.807
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.841
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.707
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.674
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.863
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.415
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.616
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.717
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.643
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.503
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.74
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.743
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.776
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.901
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.998
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.837
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.646
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.45
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.89
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.814
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.988
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.608
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.409
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.8
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.831
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.757
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.789
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.745
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.595
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.848
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.918
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.876
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.966
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.957
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.307
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.279
