Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.865
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.986
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.993
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.712
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.8
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.693
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.561
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.703
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.832
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.935
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.968
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.774
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.932
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.926
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.789
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.912
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.912
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.735
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.621
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.5
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.781
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.943
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.744
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.955
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.542
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.824
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.713
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.703
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.634
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.975
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.788
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.865
