Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.855
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.469
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.5
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.57
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.451
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.445
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.688
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.352
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.482
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.538
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.541
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.461
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.603
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.514
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.431
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.574
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.515
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.519
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.492
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.432
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.22
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.771
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.62
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.512
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.107
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.548
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.579
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.403
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.372
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.972
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.303
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.571
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.542
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.682
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.322
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.095
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.632
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.65
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.044
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.544
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.473
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.519
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.79
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,0.983
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.53
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.995
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.497
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.581
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.346
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.482
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.517
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.71
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.272
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.472
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.624
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.23
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.252
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.813
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.537
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.004
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.497
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.67
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.442
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.775
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.667
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.172
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.295
