Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.842
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.923
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.953
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.713
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.749
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.64
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.602
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.797
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.793
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.934
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.937
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.768
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.868
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.88
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.816
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.849
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.913
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.737
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.733
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.444
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.628
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.92
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.71
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.944
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.717
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.72
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.661
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.635
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.528
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.95
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.752
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.801
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.775
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.657
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.828
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.541
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.586
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.642
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.826
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.389
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.724
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.704
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.651
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,0.999
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.82
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.97
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.812
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.619
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.423
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.846
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.811
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.979
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.68
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.551
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.794
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.769
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.687
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.701
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.721
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.639
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.786
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.869
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.87
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.917
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.908
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.326
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.26
