Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.893
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.989
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.992
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.72
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.738
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.71
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.648
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.786
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.822
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.94
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.972
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.795
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.912
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.902
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.791
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.883
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.923
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.68
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.619
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.506
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.777
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.957
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.691
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.958
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.249
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.801
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.705
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.693
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.622
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.978
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.839
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.836
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.765
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.676
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.879
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.4
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.617
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.687
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.718
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.523
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.722
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.726
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.762
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.853
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.996
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.819
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.632
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.516
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.867
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.815
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.967
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.571
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.367
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.849
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.775
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.786
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.754
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.725
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.603
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.868
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.928
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.861
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.96
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.95
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.321
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.315
