Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.797
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.499
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.496
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.607
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.484
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.456
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.558
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.407
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.414
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.58
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.56
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.51
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.627
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.544
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.462
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.599
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.544
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.516
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.474
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.419
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.31
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.826
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.59
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.611
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.289
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.547
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.559
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.403
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.375
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.876
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.39
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.554
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.542
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.801
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.353
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.132
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.714
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.747
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.204
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.806
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.468
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.528
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.759
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,0.983
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.436
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.58
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.586
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.384
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.471
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.545
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.445
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.521
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.346
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.558
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.232
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.324
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.744
