Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.874
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.985
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.989
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.728
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.74
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.704
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.621
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.806
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.804
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.935
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.94
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.785
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.883
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.896
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.798
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.863
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.922
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.654
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.59
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.512
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.799
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.958
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.693
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.968
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.269
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.81
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.712
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.682
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.635
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.954
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.809
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.838
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.757
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.667
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.893
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.391
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.616
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.704
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.648
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.451
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.739
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.745
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.803
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.845
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.988
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.817
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.633
